FundName,TargetName,FundID,Permno,NCUSIP,gv_str,Date13D,DateCross5pct,Year,Gvkey
KENSICO CAPITAL MANAGEMENT CORP,DORIAN LPG LTD.,165,14642,Y2106R110,317264,20140606,20140530,2014,317264
COOPERMAN LEON G,NORDIC AMERICAN OFFSHORE LTD.,129,14756,Y6366T112,317260,20140623,20140611,2014,317260
PERSHING SQUARE CAPITAL MANAGEMENT LP,PLATFORM SPECIALTY PRODUCTS CORP,54,14406,72766Q105,315318,20141007,20141003,2014,315318
OSMIUM SPARTAN LP,FUTUREFUEL CORP.,197,12615,36116M10,287462,20100108,20091229,2010,287462
MOUNT KELLETT CAPITAL MANAGEMENT LP,ENERGY XXI LTD,710,92215,G10082140,282189,20141223,20141215,2014,282189
DISCOVERY GROUP LLC,VELTI PLC,21,12507,G93285107,277376,20130215,20130207,2013,277376
FIR TREE INC,CHINACAST EDUCATION CORP.,695,92300,16946T10,270989,20111202,-99,2011,270989
XMARK ASSET MANAGEMENT LLC,ICAGEN INC,268,90599,45104P50,266316,20080926,20080925,2008,266316
WHITEBOX ADVISORS LLC,DUNE ENERGY INC,202,-99,265338707,266163,20140422,20140415,2014,266163
FJ CAPITAL LLC,CITIZENS COMMUNITY BANCORP INC.,451,91609,17490310,266160,20110412,20110412,2011,266160
GLENHILL ADVISORS LLC,"DESIGN WITHIN REACH, INC.",192,90224,25055710,264709,20060518,20060517,2006,264709
SUN CAPITAL SECURITIES LLC,DESIGN WITHIN REACH INC,248,90224,25055710,264709,20060512,20060503,2006,264709
MILLENNIUM MANAGEMENT LLC,"CRITICAL THERAPEUTICS, INC.",153,90183,22674T10,264668,20070614,20070604,2007,264668
DISCOVERY GROUP LLC,JACKSON HEWITT TAX SERVICE INC,21,90209,46820210,264507,20091119,20091106,2009,264507
SHAMROCK ACTIVIST VALUE FUND LP,JACKSON HEWITT TAX SERVICE,71,90209,46820210,264507,20071022,20071011,2007,264507
PALISAIR CAPITAL PARTNERS LP,"1ST CENTURY BANCSHARES, INC.",509,92870,31943X10,264418,20080310,20080227,2008,264418
SANDLER CAPITAL MANAGEMENT,BLACKBOARD INC,156,90220,9193550,264386,20050127,-99,2005,264386
QVT FINANCIAL LP,"INHIBITEX, INC.",146,90243,45719T10,264270,20060517,20060511,2006,264270
FARALLON CAPITAL MANAGEMENT,LINKTONE LTD,112,90087,53592510,260775,20071211,20071128,2007,260775
VALUEACT CAPITAL MANAGEMENT LP,"CBRE GROUP, INC.",81,90199,12504L10,260774,20111227,20111216,2011,260774
PERCEPTIVE ADVISORS LLC,XTL BIOPHARMACEUTICALS LTD,513,90917,98386D10,241335,20080717,20080314,2008,241335
OSMIUM SPARTAN LP,SPARK NETWORKS INC,197,92185,84651P100,238157,20131206,20131205,2013,238157
OSMIUM SPARTAN LP,SPARK NETWORKS INC,197,92185,84651P10,238157,20100309,20100308,2010,238157
MOAB CAPITAL PARTNERS LLC,SPARK NETWORKS,154,92185,84651P10,238157,20071203,20071129,2007,238157
VALUEACT CAPITAL MANAGEMENT LP,ACTIVIDENTITY CORPORATION,81,89678,00506P10,230796,20090306,20070227,2009,230796
GAMCO ASSET MANAGEMENT,NABI BIOPHARMACEUTICALS,105,57913,629519109,210032,20120928,20120921,2012,210032
