Fund Name,Target Name,FundID,Permno,NCUSIP,Gvkey,Date13D,DateCross5pct
ACCIPITER CAPITAL MANAGEMENT LLC,ARENA PHARMACEUTICALS,1,88421,4004710,138122,20050131,-99
ACCIPITER CAPITAL MANAGEMENT LLC,LIFEPOINT HOSPITALS INC.,1,86899,53219L10,120297,-99,-99
ACCIPITER CAPITAL MANAGEMENT LLC,AMERICAN HOMEPATIENT INC,1,77098,2664910,24668,20060616,20060615
ACCIPITER CAPITAL MANAGEMENT LLC,RURAL/METRO CORPORATION,1,79417,78174810,28616,20060905,20060824
ACCIPITER CAPITAL MANAGEMENT LLC,"VISTACARE, INC.",1,89622,92839Y10,150284,20080207,20080206
ACCIPITER CAPITAL MANAGEMENT LLC,PENWEST PHARMACEUTICALS CO,1,86333,70975410,113533,20080219,20080215
ACCIPITER CAPITAL MANAGEMENT LLC,ORCHID CELLMARK INC,1,88255,68573C10,135004,20100310,20100308
ACCIPITER CAPITAL MANAGEMENT LLC,TRIPLE S MANAGEMENT CORP,1,92506,896749108,174647,20130528,20130517
ACQUISITOR HOLDINGS LTD,AIR METHODS CORP,2,11641,912830,13789,20021009,20021007
ACQUISITOR HOLDINGS LTD,ALDILA INC,2,79247,1438420,28388,20021009,20021007
ACQUISITOR HOLDINGS LTD,"MERCURY AIR GROUP, INC.",2,64004,58935410,5847,20021202,20021122
ACQUISITOR HOLDINGS LTD,"BAKER (MICHAEL), CORPORATION",2,52484,5714910,1974,20030527,20030514
ACQUISITOR PLC,MILLER BUILDING SYSTEMS INC,3,10307,60040410,12214,20000712,20000706
ACQUISITOR PLC,DATRON SYSTEMS INC/DE,3,12005,23817310,3796,20001115,20001109
ACQUISITOR PLC,CATALINA LIGHTING INC,3,75286,14886510,14457,20001229,20001219
ACQUISITOR PLC,COLORADO MEDTECH INC,3,28063,19652U10,3673,20010209,20010201
ANDREEFF EQUITY ADVISORS LLC,BACK YARD BURGERS,4,79252,05635W10,28501,20051107,20050822
ANDREEFF EQUITY ADVISORS LLC,GEOKINETICS INC.,4,38790,37291020,12708,20060119,20051201
ATLANTIC INVESTMENT MANAGEMENT INC,C&D TECHNOLOGIES INC,5,71685,12466110,13328,19980604,19980529
ATLANTIC INVESTMENT MANAGEMENT INC,JLK DIRECT DISTRIBUTION INC,5,85065,46621C10,64999,19981120,19981118
ATLANTIC INVESTMENT MANAGEMENT INC,HARSCO CORPORATION,5,25304,41586410,5496,20011217,20011213
ATLANTIC INVESTMENT MANAGEMENT INC,DOLE FOOD COMPANY INC,5,40707,25660510,2812,20020731,20020731
ATLANTIC INVESTMENT MANAGEMENT INC,PRECISION CASTPARTS CORPORATION,5,63830,74018910,8717,20021010,20021002
ATLANTIC INVESTMENT MANAGEMENT INC,SPX CORPORATION,5,55212,78463510,5087,20040805,20040802
ATLANTIC INVESTMENT MANAGEMENT INC,DEL MONTE FOODS CO,5,86590,24522P10,24283,20040914,20040913
ATLANTIC INVESTMENT MANAGEMENT INC,SONOCO PRODUCTS COMPANY,5,71176,83549510,9815,20050818,20050812
